gene	arp6_0.5mM_1	arp6_0.5mM_2	arp6_0.5mM_3	WT_10mM_1	WT_10mM_2	WT_10mM_3	arp6_10mM_1	arp6_10mM_2	arp6_10mM_3	WT_0.5mM_1	WT_0.5mM_2	WT_0.5mM_3	cluster_6_pearson	cluster_6_pearson_color
AT3G27510	-0.7410164624232431	-0.6034349417120437	-0.2939891361701959	0.16374843430798136	0.5693115003110563	0.8615890851307827	-1.0664544579532402	-1.2640648888934582	-1.2665125111703	1.0026319995229043	1.1159584480778708	1.5222329309718836	6	#FDB462
AT3G27870	-0.8531368698129023	-0.8925642975323039	-1.1791524368013053	1.0501513551576933	0.9155978279025968	0.8001916309433224	-1.0824616513904914	-0.8151219351849756	-0.8779719228699224	0.9807006073594122	1.0915193932156588	0.8622482990132175	6	#FDB462
AT3G27930	-0.8084811456034602	-0.9534805372473625	-0.1918554344670602	0.306211419471456	0.8323091863304687	0.7335351895178646	-1.4783428519734876	-0.6005809007294289	-1.21863000096044	1.2368097757360115	0.7397939660891077	1.4027113338363306	6	#FDB462
AT3G27940	-0.8835475326010472	-0.8835475326010472	-0.8835475326010472	0.9684290571709085	-0.026029628445563512	1.2251859025161134	-0.8835475326010472	-0.8835475326010472	-0.8835475326010472	0.5457291286570317	1.6329788216614176	0.9549919140463756	6	#FDB462
AT3G27980	-0.907043807802995	-0.907043807802995	-0.907043807802995	1.008119888038098	0.5400980667064269	0.18793631899824478	-0.907043807802995	-0.907043807802995	-0.907043807802995	1.3068026185440638	0.9405874657795935	1.4587184887515425	6	#FDB462
AT3G27990	-0.9423102742464804	-0.9423102742464804	-0.9423102742464804	0.6363857430224579	0.9204610388633678	0.6782501010191851	-0.9423102742464804	-0.9423102742464804	-0.9423102742464804	1.0418390101505586	1.0307717137470747	1.3461540386762392	6	#FDB462
AT3G28030	-0.735171737579837	-0.8472559363708915	-0.802487831303357	0.509234586057397	0.9095669507083411	0.6368420325064884	-1.0212373438415747	-1.1281910208646653	-1.015403131387005	0.8131221419034642	1.2974132072117301	1.3835680829599086	6	#FDB462
AT3G28080	-1.2086583892127079	-0.9380699415572725	-0.44732316200921235	1.4469527552281967	1.1410932147309378	0.5015384225760605	-0.8138210503599235	-0.23716958743566458	-1.1819829177745798	0.15121277878965161	1.6343042871422928	-0.04807641011777746	6	#FDB462
AT3G28153	-0.8502072777077927	-0.8502072777077927	-0.8502072777077927	-0.048802975597491194	0.24445811757872826	0.9987786040167012	-0.8502072777077927	-0.8502072777077927	-0.8502072777077927	1.3152876311070383	0.7882131823176268	1.803309106824153	6	#FDB462
AT3G28155	-0.8240144511123974	-0.8240144511123974	-0.8240144511123974	0.7599464373778698	-0.022686282753445183	0.5732892664344459	-0.8240144511123974	-0.8240144511123974	-0.8240144511123974	0.8151578186091847	2.240812721632116	0.5775667453742137	6	#FDB462
